Crop,Disease,Symptom,Treatment,Cause
Tomato,Late blight,Brown patches on leaves,Use fungicide,Fungal
Apple,Rust,Orange spots,Remove infected leaves,Viral
Potato,Leaf spot,Dark lesions,Apply neem oil,Bacterial
Wheat,Mosaic virus,Stunted growth,Use resistant varieties,Fungal
Rice,Bacterial wilt,Wilting,Improve soil drainage,Viral
Corn,Powdery mildew,White powdery coating,Spray sulfur,Bacterial
Soybean,Root rot,Root decay,Use bio-fertilizer,Fungal
Banana,Scab,Corky lesions,Crop rotation,Viral
Grapes,Anthracnose,Sunken spots,Apply copper fungicide,Bacterial
Mango,Downy mildew,Yellowing leaves,Burn infected plants,Fungal
Tomato,Late blight,Brown patches on leaves,Use fungicide,Viral
Apple,Rust,Orange spots,Remove infected leaves,Bacterial
Potato,Leaf spot,Dark lesions,Apply neem oil,Fungal
Wheat,Mosaic virus,Stunted growth,Use resistant varieties,Viral
Rice,Bacterial wilt,Wilting,Improve soil drainage,Bacterial
Corn,Powdery mildew,White powdery coating,Spray sulfur,Fungal
Soybean,Root rot,Root decay,Use bio-fertilizer,Viral
Banana,Scab,Corky lesions,Crop rotation,Bacterial
Grapes,Anthracnose,Sunken spots,Apply copper fungicide,Fungal
Mango,Downy mildew,Yellowing leaves,Burn infected plants,Viral
Tomato,Late blight,Brown patches on leaves,Use fungicide,Bacterial
Apple,Rust,Orange spots,Remove infected leaves,Fungal
Potato,Leaf spot,Dark lesions,Apply neem oil,Viral
Wheat,Mosaic virus,Stunted growth,Use resistant varieties,Bacterial
Rice,Bacterial wilt,Wilting,Improve soil drainage,Fungal
Corn,Powdery mildew,White powdery coating,Spray sulfur,Viral
Soybean,Root rot,Root decay,Use bio-fertilizer,Bacterial
Banana,Scab,Corky lesions,Crop rotation,Fungal
Grapes,Anthracnose,Sunken spots,Apply copper fungicide,Viral
Mango,Downy mildew,Yellowing leaves,Burn infected plants,Bacterial
Tomato,Late blight,Brown patches on leaves,Use fungicide,Fungal
Apple,Rust,Orange spots,Remove infected leaves,Viral
Potato,Leaf spot,Dark lesions,Apply neem oil,Bacterial
Wheat,Mosaic virus,Stunted growth,Use resistant varieties,Fungal
Rice,Bacterial wilt,Wilting,Improve soil drainage,Viral
Corn,Powdery mildew,White powdery coating,Spray sulfur,Bacterial
Soybean,Root rot,Root decay,Use bio-fertilizer,Fungal
Banana,Scab,Corky lesions,Crop rotation,Viral
Grapes,Anthracnose,Sunken spots,Apply copper fungicide,Bacterial
Mango,Downy mildew,Yellowing leaves,Burn infected plants,Fungal
Tomato,Late blight,Brown patches on leaves,Use fungicide,Viral
Apple,Rust,Orange spots,Remove infected leaves,Bacterial
Potato,Leaf spot,Dark lesions,Apply neem oil,Fungal
Wheat,Mosaic virus,Stunted growth,Use resistant varieties,Viral
Rice,Bacterial wilt,Wilting,Improve soil drainage,Bacterial
Corn,Powdery mildew,White powdery coating,Spray sulfur,Fungal
